///The Gravel-Eater (2964671523)///
kingmaxthe2.gravelslug-name|The Gravel-Eater
kingmaxthe2.gravelslug-description|Introduces a new slugcat called the Gravel-Eater.
///Меню
THE GRAVEL-EATER|КАМНЕЕД
The Gravel-Eater|Камнеед
Gravel-Eater|Камнеед
Awoken from a deep slumber, and tragically stuck in a delicate equilibrium. <LINE> Given a chance at life, will normalcy ever be found? |Пробудившись от глубокого сна, вы трагически оказались в неустойчивом равновесии.<LINE>Если у вас будет шанс на жизнь, сможете ли вы когда-нибудь вернуться к нормальной жизни?
Seeking refuge from their delacate balance, The Gravel-Eater<LINE>strides foreward through the sizzling pain|Ища спасения от своего шаткого равновесия, Камнеед шагает вперед,<LINE>преодолевая постоянную боль.
Breath|Дыхание
There is a Lustful presence here, seek enlightenment little one|Здесь присутствует похотливое существо, ищи просветления, малыш
///Ремикс
Gravel Eater Config|Камнеед настройки
Skip tutorial|Пропустить обучение
Disable Sinking|Отключить погружение
LOCKED (Sink like a rock)|ЗАКРЫТО (Тонет, как камень)
Dissolve Timer Drain Multiplier|Множитель таймера растворения
Unlocks secret cut ability|Разблокировать секретную способность к разрезанию
LOCKED (beat campain)|ЗАКРЫТО (Пройди кампанию)
Keep abilities post quest|Сохранить способности
LOCKED (unlockable soon...)|ЗАКРЫТО (скоро будет разблокировано...)
Enables rainbow fire particles|Активировать частицы радужного огня
LOCKED (Da Vinki??)|ЗАКРЫТО (Винки?)
Craft Singularity Bombs with Neurons|Создание Сингулярной бомбы с помощью нейронов
LOCKED (???)|ЗАКРЫТО (???)
Balance achieved|Баланс достигнут
///Название регионов
Fallen Cathedral|Разрушенный собор
Solventicon|Растворитель
The Fissure|Расщелина
Deep Reservoir|Глубокое водохранилище
Faulting Airducts|Неисправные воздуховоды
Sunbaked Archipelago|Выжженый архипелаг
///Обучение
There is a |Здесь присутствует 
 presence here, seek enlightenment little one| существо, ищи просветления, малыш
You are starving, find rocks and other objects to consume.|Ты умираешь с голоду, найди камни или другие предметы, которые можно съесть.
While in the starved state, you have boosts in attacks and movement.|Находясь в голодном состоянии, ты получаешь больше возможностей для атак и передвижения.
Holding UP while swallowing or while an object is in your stomach may craft something new.|Удерживай «Вверх» во время глотания или пока какой-либо предмет находится у тебя в желудке, чтоюы создать что-то новое.
You are now nourished and full of gravel, lessening the pain within.|Теперь ты сыт и полон энергии, что уменьшает внутреннюю боль.
You are heavier and more durable in this state, you sink in water and can withstand some projectiles.|В таком состоянии ты тяжелее и выносливее, ты тонешь в воде и можешь выдержать некоторые снаряды.
You can spit out rocks and empty your stomach to reduce weight and return to the Malnourished state.|Ты можешь выплюнуть камни и опустошить желудок, чтобы снизить вес и вернуться к состоянию истощения.
///Галька
Little Experiment?|Маленький эксперимент?
Alone again...|Снова один...
Oh...|Ох...
///Галька
You should leave quickly before the rain crushes you.|Тебе следует побыстрее уходить, пока тебя не настиг дождь.
Quickly, find a shelter nearby. It will protect you from my rushing waters.|Быстрее найди убежище поблизости. Оно защитит тебя от моих бурлящих вод.
Please find some safety for yourself. I want to see you again.|Пожалуйста, найди для себя безопасное место. Я хочу увидеть тебя снова.
///Нейроны
///2
...Stars...|...Звёзды...
pretty|хороши
///3
...Night... coming... Soon...|...Ночь... приближается... Скоро...
///4
Night... You can stay. It will be fine.|Ночь... Ты можешь остаться. Всё будет хорошо.
///5
Night is coming. Now, leave me alone.|Приближается ночь. А теперь оставь меня в покое.
Take your offspring with you.|Не забудь детёныша.
Take your pet with you.|Не забудь питомца.
I think night is approaching.|Я думаю, приближается ночь.
You can stay if you like, <PlayerName>! It will be fine.<LINE>The stars are beautiful, somtimes it's hard to see them through the rain and snow..|Ты можешь остаться, если хочешь, <PlayerName>! Всё будет хорошо.<LINE>Звезды прекрасны, но иногда их трудно разглядеть сквозь дождь и снег...
Your family is welcome to stargaze too!|Твоя семья тоже может посмотреть на звёзды!
Your friend is welcome to stargaze too!|Твой друг тоже может посмотреть на звёзды!
///Сообщение Гальки
Oh, little experiment!|Ох, маленький эксперимент!
I... don't even know what to say.|Я... даже не знаю, что сказать.
Hm? You can understand me, can't you?|Хм? Ты ведь понимаешь меня, не так ли?
Some solution you were while in that vegetative state.|Некоторые решения ты принимал, находясь в вегетативном состоянии.
I tried so hard to wake you; you were my last hope.|Я так старался разбудить тебя, ты был моей последней надеждой.
But who am I to put such trust in a simple creature?|Но кто я такой, чтобы так доверять простому существу?
There is nothing you can do now, nothing left to save.|Сейчас ты ничего не можешь сделать, больше нечего спасать.
Though I would enjoy the company for a while longer before you move on, if you please.|Хотя я бы ещё немного насладился твоей компанией, прежде чем ты двиншься дальше, если позволишь.
///Сообщение Гальки
Hello again, little one.|Ещё раз здравствуй, малыш.
