///Frostbite (3288406859)///
shrimb.frostbite-name|Frostbite
shrimb.frostbite-description|Exploring the gaps of the timeline and their secrets through the Hermit, the Sacrifice, and the Executioner... and perhaps one more, who prefers to stay hidden.
///Ремикс
///FROSTBITE OPTIONS|ЗАМЁРЗШЕЕ МЕСТО ОПЦИИ
///If checked, The Sacrifice will emit holograms. Unchecking may improve performance.|Если флажок установлен, Жертва будет излучать голограммы. Снятие флажка может повысить производительность.
///If checked, The Hermit will stun other players and slugpups.|Если флажок установлен, Отшельник будет оглушать других игроков и слизнекотят.
///If checked, Saint will have Frostbite's winter deer.|Если флажок установлен, у Святого будет зимний олень из мода.
///Adjusts rate of Rotted food in the world as a percentage. 20 = default spawns, NOT 20 percent.|Регулирует уровень гниения пищи в мире в процентах. 20 = появляется по умолчанию, А НЕ 20 процентов.
///Название регионов
Firmament Basilica|Базилика небесного свода
///Жертва
///Меню
THE SACRIFICE|ЖЕРТВА
The Sacrifice|Жертва
Sacrifice|Жертва
A frail creature, sent unprepared into a harsh and unforgiving world, to an unknown fate...|Хрупкое создание, отправленное неподготовленным в суровый и неумолимый мир, навстречу неизвестной судьбе...
///Обучение
Sacrifice Interactions:|Механики Жертвы:
(jump) + (grab) to boostjump|Нажми «Взять» + «Прыжок» вместе, чтобы ускорить прыжок.
Hold (grab) to chirp and stun small insects or attract attention|Удерживай «Взять», чтобы щебетать. Это оглушает мелких насекомых и привлекает внимание.
Hold (up) + (throw) at full food pips to switch modes|Удерживай «Вверх» + «Бросить» при полных единицах пищи, чтобы сменить режим.
You are a small and frail creature, not built for sustained life.|Ты — маленькое и хрупкое создание, не приспособленное к длительной жизни.
You must rely on wits to survive.|Ты должен полагаться на сообразительность, чтобы выжить.
Hold (GRAB) to chirp. This stuns small insects and attracts attention.|Удерживай «Взять», чтобы щебетать. Это оглушает мелких насекомых и привлекает внимание.
Press (GRAB)+(JUMP) together to boostjump.|Нажми «Вверх» + «Прыжок» вместе, чтобы ускорить прыжок.
You can starve to change modes.|Ты можешь голодать, чтобы сменить режим.
Holding (UP)+(THROW) together while at full food pips will also change modes.|Удерживай «Вверх» + «Бросить» при полных единицах пищи, чтобы сменить режим.
///Сообщение гальки
... M-My thoughts... flooding b-b-back... A... Neuron? Mine?|...М-мои мысли... наводняют н-н-назад... A... Нейрон? Мой?
... No... A creature of... s-some sort...|...Нет... Существо... какого-то рода...
... What are you...? That color... You're formatted to me...|...Что ты за...? Такого цвета... Ты отформатирован для меня...
