///Hunter Expansion (3186608452)///
Quaeledy.hunterexpansion-name|Hunter Expansion
Quaeledy.hunterexpansion-description|Six dream scenes and a new ending (with two variations) have been added for the Hunter. Basic behaviors for NSH have been implemented, along with parts of his superstructure. NSH's dialogues have been added to the [Collection] section. <LINE>I dedicate this work to my friends. This mod is not canon. I made it for my friends who wanted to see NSH in the game. I hope you enjoy this mod.

//提示
The pearl you carry may determine your expedition's ending.|你携带的珍珠可能决定你的结局。
Please treat it with caution.|请谨慎对待它。
No Significant Harassment's Transcription|无稽烦忧的记录

//区域名
No Significant Harassment|无稽烦忧
The Temporary Arena|临时竞技场
No Significant Harassment (Memory Conflux)|无稽烦忧（内存集成）
No Significant Harassment (The Boxroom)|无稽烦忧（收藏匣）
No Significant Harassment (Multistage Amplifier)|无稽烦忧（多级放大器）
No Significant Harassment (General Systems Bus)|无稽烦忧（通用系统总线）

//称呼
little one|小家伙
little messenger|小信使
little furball|小圆球
little moth|小飞蛾

little wanderer|小流浪者
little apprentice|小学徒
little scholar|小学者
little garbage worm|小垃圾虫
little naturalist|小博物学家

little Wanderer|小流浪者
little Apprentice|小学徒
little Scholar|小学者
little Garbage Worm|小垃圾虫
little Naturalist|小博物学家

//新版对话翻译
//第二场梦境，误入
//玩家靠近神经元触发的对话，对话为随机抽取（太少了，多来点）
//（一次）
Please keep out. I don't want anything to go wrong at this stage.|请不要靠近，我不希望这个过程出什么差错。
//（两次）
It seems like you're curious about it? I'll hand it over to you at the right time, but not now.|看来你对它很好奇？我会在合适的时候将它交给你，但不是现在。
//（三次）
What are you doing, messenger? Please don't touch it.|信使，你在做什么？请不要试图触碰它。
It will interrupt my process and potentially result in errors and irreversible damage.|这会中断我的进程，同时可能导致错误和不可逆的损害。
It's an unpleasant experience for any iterator, so please stop your attempts.|这对任何迭代器都是不愉快的体验，请停止你的尝试。
//（多次之后随机抽取）
Please do not approach it.|请不要靠近它。
May I hope you don't interfere with my work?|我可以希望你不要干扰我的工作吗？

//玩家开挂拿神经元触发的对话，按触犯次数和严重程度依次触发
//（一级）
I don't know how you did it, but I hope it won't happen again.|我不知道你是怎么做到的，但我希望这种事情不会发生第二次。
//（二级）
Seems like you are unwilling to follow orders?|看起来你不太愿意听从命令？
Such a shame! I have to remind you that my patience is not infinite.|多么可惜！我不得不提醒你，我的耐心是有限的。
//（三级）
Such a disobedient messenger~|不听话的信使~
Congratulations! You are free now.|恭喜！你自由了。

//结局流程对话
//Moon修珍珠
Oh... don't you want me to do this?|哦……你不想让我这么做吗？
Um... I will continue.|嗯……我会继续。
//NSH招呼猎手
Good morning. Come here, my little messenger. Come to me.|早上好。来吧，我的小信使。来我这里。
Good morning, messenger.|早上好，信使。
Oh, you're with your friend. But we need some time alone, I believe. Can you come back for me after you take it to somewhere safe?|噢，你还带着你的小朋友，但我想我们需要单独的空间，<LINE>你可以把它带到安全的地方再回来找我吗？
Oh, you're with your friends. But we need some time alone, I believe. Can you come back for me after you take them to somewhere safe?|噢，你还带着你的小朋友们，但我想我们需要单独的空间，<LINE>你可以把它们带到安全的地方再回来找我吗？
Welcome back, my messenger. Come, Come here.|欢迎回来，我的小信使。来吧，来我这里。

//NSH被攻击
What are you doing? Please don't attack me.|你在做什么？请不要攻击我。
Stop this barbaric behavior, animal.|野兽，停下你野蛮的行为。
Remember to behave in the next cycle.|下个循环记得礼貌一点。
I have already warned you.|我已经警告过你了。

//当着NSH的面食用神经元
Creature, are you intentionally provoking me?|野兽，你在有意激怒我吗？
Okay, if you brought it to me just for this moment, feel free.|好吧，如果你把它带到我面前就是为了这一刻，请便。

//NSH读白色珍珠及彩色珍珠引语
//第一次
Do you want to give it to me? Or just want me to read it?|你想把它送给我？或者只是希望我阅读它？
Let me take a look at this pearl...|让我看看这颗珍珠……
//第二次
Are you curious about the content in this pearl? Okay, I'm curious~|你很好奇这颗珍珠中的内容吗？好吧，我很好奇~
//第三次
Another pearl? It seems that you really like them!|又一颗珍珠？看来你确实很喜欢它们！
//第四次
Seeing you appear with pearls, I think I already know your purpose for coming here.|看到你带着珍珠出现，我想我已经知道你来这里的目的了。
The scavengers will be jealous of your horde!|拾荒者们会嫉妒你的收集能力的！
//多次见203

//NSH解读物品的引语
What is that?|那是什么？
Seems like you found something new again! Let me take a look.|看来你捡到新东西了！我看一看。
Seems like you found something new again. Let me take a look.|看来你捡到新东西了。我看一看。
Ah-Hah! You are making this into a habit! Let me take a close look.|哈哈，你已经养成习惯了！我看一看。
If you continue to be polite, I will explain to you.|如果你接下来保持礼貌，我就解释给你听。
I have the right to refuse to entertain impolite guests, don't you think?|我有权拒绝招待不礼貌的客人，你说对吗？
Let's see, what do you have here this time?|让我们看看，又是什么好东西？
What is it again?|又是什么东西？

//NSH解读的火虫卵被拿走时
Oh, of course, you can take it away anytime!|噢，当然，你可以随时拿走它！
//NSH保管的奇点炸弹被拿走时
You can take it, but don't attack me anymore.|你可以拿走，但不要再攻击我了。

//当着NSH的面吃神经元
//吃NSH的
Beast, are you intentionally provoking me?|野兽，你在有意激怒我吗？
//吃Moon的
Goodbye, you cruel creature.|再见，残忍的生物。
//吃FP的
Okay, if you brought it to me just for this moment, feel free.|好吧，如果你把它带到我面前就是为了这一刻，请便。


//第一场梦境，诞生
Can you hear me?|听得到吗？
We are running out of time. Let's keep it simple.|时间紧迫。让我们公事公办。
As you see,I should be counted as a creator of you.|如你所见，我该算作你的创造者。
I need to lend your hand for something.|接下来我需要借你之手办成一件事。
As compensation, I will guide you on the path of ascension.|作为补偿，我会指引你走上飞升之路。
But I know, this will always be a unreasonable request. Creating life should have not been such a hasty thing.|但我知道，这总会是个不情之请。创造生命本不该如此仓促。
I'm sorry. Unfortunately, we don't have any other options.|我很遗憾，只可惜我们没有其它选择。


//第二场梦境，误入
Why are you here?|你怎么来了？
Neither you nor I are ready for what's coming next, yet.|现在你和我都还没有为之后的任务做好准备。
Please leave and don't disturb my work.|请回去，不要打扰我的工作。
If you just want to take a break, I don't object either.|如果你只是想休息一会儿，我并不反对。

//玩家靠近神经元触发的对话，对话为随机抽取（太少了，多来点）
//（一次）
Please keep out. I don't want anything to go wrong at this stage.|请不要靠近，我不希望这个过程出什么差错。
//（两次）
It seems like you're curious about it? I'll hand it over to you at the right time, but not now.|看来你对它很好奇？我会在合适的时候将它交给你，但不是现在。
//（三次）
What are you doing, messenger? Please don't attempt to touch it.|信使，你在做什么？请不要试图触碰它。
It will interrupt my process and potentially result in errors and irreversible damage.|这会中断我的进程，同时可能导致错误和不可逆的损害。
It's an unpleasant experience for any iterator, so please stop your attempts.|这对任何迭代器都是不愉快的体验，请停止你的尝试。
//（多次之后随机抽取）
Please do not approach it.|请不要靠近它。
May I hope you don't interfere with my work?|我可以希望你不要干扰我的工作吗？

//玩家开挂拿神经元触发的对话，按触犯次数和严重程度依次触发
//（一级）
I don't know how you did it, but I hope it won't happen again.|我不知道你是怎么做到的，但我希望这种事情不会发生第二次。
//（二级）
Seems like you are unwilling to follow orders?|看起来你不太愿意听从命令？
Such a shame! I have to remind you that my patience is not infinite.|多么可惜！我不得不提醒你，我的耐心是有限的。
//（三级）
Such a disobedient messenger~|不听话的信使~
Congratulations! You are free now.|恭喜！你自由了。


//第三场梦境，对战
NSH: This time I'll set you up with a lizard.|无稽烦忧：这次你要应对的是一只蜥蜴。
NSH: Keep your spirits up, soon after the situation you're facing would be far more dangerous than this.|无稽烦忧：打起精神，你不久之后将面对的情况远比这个危险。
NSH: We need to ensure that everything is flawless.|无稽烦忧：我们需要确保这件事万无一失。
//对战结语
//（无伤）
NSH: Good. Hope you can maintain the same level of proficiency and caution along the way.|无稽烦忧：很好。希望你在途中也能持有同样的熟练和谨慎。
//（一到二次）
NSH: Well done, but still, you need my help.|无稽烦忧：做的不错，但你仍然需要我的帮助。
NSH: This can't be satisfying, isn't it?|无稽烦忧：这很难令我们满意，不是吗？
NSH: There are not many opportunities left for us.|无稽烦忧：留给我们的机会都不多了。
//（三到五次）
NSH: NSH: Calm down, your body have far more protential than you think.|无稽烦忧：冷静一点，你的机体能够达到的水平远不止于此。
NSH: Learn to manipulate it perfectly. It will not be difficult for your race.|无稽烦忧：学会完美地操纵它，对你的种族并不是难事。
NSH: Concentrate, we just need more time.|无稽烦忧：集中精神，我们只是需要更多时间。
//（更多）
NSH: ...|无稽烦忧：……
NSH: Are you acting out?|无稽烦忧：你在闹脾气吗？
NSH: I have no intention of making things ugly for us. A quarter rain cycle - I hope you can recover later.|无稽烦忧：我无意让我们之间变得剑拔弩张。四分之一个雨循环——希望之后你能恢复状态。
