///Rain World Drought (3324777051)///
drought-name|Rain World — Странник
drought-description|Rain World Drought — это старый амбициозный мод от Drought Team, возвращённый к жизни самым пышным способом, который только можно себе представить. Исследуйте мир и его новые тайны в роли Странника — и приготовьтесь к тому, что вас ждёт в будущем. 
///Меню
The Wanderer|Странник
THE WANDERER|СТРАННИК
Curious and calm, with an innate desire to discover ancient mysteries around.<LINE>In tune with the events of the world, your journey will have a significant impact on things much greater than yourself.|Любознательный и спокойный, с врожденным желанием открывать древние тайны вокруг.<LINE>Находясь в гармонии с событиями в мире, ваше путешествие окажет значительное влияние на вещи,<LINE>которые намного значительнее вас самих.
///Название регионов
Intake System|Система впуска
Water Reservoir|Водохранилище
Gravity Pump|Гравитационный насос
Looks to the Moon|Смотрящая-на-Луну
Looks to the Moon (General System Bus)|Смотрящая-на-Луну (Генеральная системная шина)
Looks to the Moon (Damaged Transform Arrays)|Смотрящая-на-Луну (Повреждённый трансформаторный массив)
Looks to the Moon (Memory Conflux)|Смотрящая-на-Луну (Отсек памяти)
The Fragmented Exterior|Фрагментированный корпус
The West Leg|Западная опора
The East Leg|Восточная опора
The Decaying Wall|Разрушающаяся стена
Forest Sanctuary|Лесной заповедник
Depot Remnants|Остатки депо
Preservation Facility|Консервационный комплекс
///Сообщения об ошибках
DroughtAssets folder is missing! Put DroughtAssets with [Rain World Drought.dll]!|Папка DroughtAssets отсутствует! Поместите DroughtAssets с помощью [Rain World Drought.dll]!
EnumExtender is missing! Download EnumExtender from RainDB - Tools Category.|EnumExtender отсутствует! Загрузите EnumExtender из RainDB — категория «Инструменты».
Directory [<assetDir>] is missing: Reinstall DroughtAssets.|Каталог [<assetDir>] отсутствует: переустановите DroughtAssets.
File [<file>] is missing: Reinstall DroughtAssets.|Файл [<file>] отсутствует: переустановите DroughtAssets.
Error occured while loading Drought Atlas [<file>]: Reinstall DroughtAssets.|Произошла ошибка при загрузке Drought Atlas [<file>]: переустановите DroughtAssets.
///Обучение
While on the ground, tap MAP and then press JUMP to slow down time.|Находясь на земле, нажми «Картe», а затем «Прыжок», чтобы замедлить время.
Then hold a DIRECTION and press JUMP to finish the boost.|Затем выбири «Направление» и нажми «Прыжок», чтобы завершить ускорение.
///Именя Игрока
///Луна
Little creature|Маленький зверёк
little creature|маленький зверёк
///Галька
Little messenger|Маленький посланник
little messenger|маленький посланник
///Солнца
Messenger|Посланник
messenger|посланник
///Плохие отношения с Луной
Little tormentor|Маленький мучитель
little tormentor|маленький мучитель
///Плохие отношения с Галькой
Little annoyance|Небольшое раздражение
little annoyance|небольшое раздражение
///Плохие отношения с СКС
Traitor|Предатель
traitor|предатель
///Хорошие отношения со всеми, принести 10+ жемчужин
Little archaeologist|Маленький археолог
little archaeologist|маленький археолог
///Хорошие отношения с Луной
Little friend|Маленький друг
little friend|маленький друг
///Хорошие отношения с Гальклй
Little helper|Маленький помощник
little helper|маленький помощник
///Хорошие отношения с СКС
My little friend|Мой маленький друг
my little friend|мой маленький друг
///Чтение жемчежин ~ Дистанционное подключение к LTTM с отметкой Луны
///Конец игры
You're reaching the end of your journey, little friend.|Ты приближаешься к концу своего путешествия, маленький друг.
Thank you, for helping me.|Спасибо тебе, за то, что помог мне.
///Диалоги Луны
I have very little to give you.|Я могу дать тебе очень мало.
Another discovery?|Ещё одно открытие?
Don't toy around with those, please.|Не играй с ними, пожалуйста.
Please, don't play around with those.|Пожалуйста, не играй с ними.
I can see that it's not for me. You should deliver it to Pebbles.|Я вижу, что это не для меня. Тебе следует отнести это Гальке.
I can see that it's not for me. You should deliver it to Pebbles!|Я вижу, что это не для меня. Тебе следует отнести это Гальке!
Once again, <PlayerName>? Well, aren't you a sweet little thing!<LINE>But listen, as much as I'd like to keep your gift - it clearly says that FP is recipient. Have it back.|Ещё раз, <PlayerName>? Ну, разве ты не прелесть, малыш?<LINE>Но послушай, как бы мне ни хотелось сохранить твой подарок — здесь ясно сказано, что получатель — ПГ.<LINE>Возьми её обратно.
You're very stubborn about it, for some reason.<LINE>You want me to decorate the room with it? Or do you want to know what's inside?<LINE>I do really like the color of it... No, it's not for me, I shouldn't.|По какой-то причине ты очень упрямишься.<LINE>Ты хочешь, чтобы я украсила ей комнату? Или ты хочешь узнать, что внутри?<LINE>Мне действительно нравится её цвет... Нет, это не для меня, я не должна.
Here.|Здесь.
That's all. You can go now.|Вот и все. Теперь ты можешь идти.
LEAVE.|УХОДИ.
///Диалоги Гальки
You again.|Снова ты.
Hello messenger.|Привет, посланник.
Do you have that pearl Suns was talking about?|У тебя есть та жемчужина, о которой говорил Солнца?
Do you have anything for me, perhaps?|Может быть, у тебя есть что-нибудь для меня?
You are welcome to stay here, but I must return to my work.|Ты можешь остаться здесь, но я должен вернуться к своей работе.
You are welcome to stay here, but I must return to my work shortly.|Ты можешь остаться здесь, но я вскоре должен вернуться к своей работе.
Hello, little envoy.|Здравствуй, маленький посланник.
///Третье Приветствие и Выше (Dislike)
Again?|Снова?
You.|Ты.
Please stop annoying me.|Пожалуйста, перестань меня раздражать.
Oh, it's you, <PlayerName>.|Ах, это ты, <PlayerName>.
///Третье Приветствие и Выше (Neutral)
Hello again, <PlayerName>.|Привет ещё раз, <PlayerName>.
Hello, <PlayerName>.|Привет, <PlayerName>.
Welcome back.|С возвращением.
Oh, <PlayerName>. Hello.|Ох, <PlayerName>. Привет.
It's you, <PlayerName>. Hello.|Это ты, <PlayerName>. Привет.
Ah... <PlayerName>, you're here again.|Ах... <PlayerName>, ты снова здесь.
Ah... <PlayerName>, you're back.|Ах... <PlayerName>, ты вернулся.
///Третье Приветствие и Выше (Like)
Hello again, <PlayerName>!|Привет ещё раз, <PlayerName>!
Hello, <PlayerName>!|Привет, <PlayerName>!
How have you been?|Как у тебя дела?
Oh, <PlayerName>. Hello!|Ой, <PlayerName>. Привет!
It's you, <PlayerName>! Hello.|Это ты, <PlayerName>! Привет.
