///The Vinki (3001275271)///
olaycolay.thevinki-name|The Vinki
olaycolay.thevinki-description|Play as an angsty teen wearing rail-grinding shoes and spraying graffiti to enact revenge on 5P.
///Меню
THE VINKI|ВИНКИ
The Vinki|Винки
Vinki|Винки
///A daring athlete and adept of an ancient art form. You strive to make yourself known to this hostile land.\nIs your home here, or is this just another pile of steel and rubble?|Отважный спортсмен и адепт древнего вида искусства. Вы стремитесь заявить о себе на этой враждебной земле.<LINE>Здесь ваш дом или это просто ещё одна груда стали и щебня?
QUEST MAP|КВЕСТ КАРТА
SELECT GRAFFITI|ВЫБОР ГРАФФИТИ
PAGE|ЛИСТ
View graffiti quest objectives and progress|Просмотр целей и хода выполнения граффити-квеста
Shuffling between designs randomly|Случайное переключение между дизайнами
Spraying this design repeatedly|Многократное нанесение этого дизайна
Spraying this design once then shuffling|Нанести этот дизайн один раз, а затем перемешать
RainPods|RainPods
Shoes|Обувь
Glasses|Очки
///Трюки
New Best Combo!|Новая лучшая комбинация!
New Best Combo and Score!|Новая лучшая комбинация и результат!
New Best Score!|Новый лучший результат!
Best Trick Combo: |Лучшая комбинация трюка: 
Best Trick Score: |Лучший результат при выполнении трюка: 
///Регион
Five Pebbles (Research and Development)|Пять Галек (Исследования и Разработки)
///Ремикс
Last Page|Предыдущая страница
///Опции
///Gameplay|Геймплей
///Require Spray Cans for Graffiti|Требуется баллончик для нанесения граффити
///Requires a spray can to spray graffiti on the background (craft a can with a rock and a colorful item).|Для нанесения граффити требуется баллончик с распылителем (смастерьте баллончик из камня и какого-нибудь красочного предмета).
///Require Spray Cans for Tagging|Требуется баллончик для маркировки
///Requires a spray can to tag creatures (craft a can with a rock and a colorful item).|Требуется баллончик с распылителем, чтобы помечать существ (смастерьте баллончик из камня и какого-нибудь красочного предмета).
///Graffiti Mode Button for Controls (Improved Input Config)|Кнопка режима граффити (Улучшена конфигурация ввода)
///Use the Graffiti Mode button when crafting, spraying, and tagging. Disable if you have custom bindings and don't like having to press two buttons to perform these abilities.|Используйте кнопку «Режим граффити». Отключите, если у вас есть пользовательские привязки и вам не нравится нажимать две кнопки для использования способностей.
///Use Up as Graffiti Mode (Improved Input Config)|Использовать в режиме граффити (Улучшена конфигурация ввода)
///Use the Up direction for Graffiti Mode (in addition to the normal binding).|Используйте кнопу «Вверх» для режима граффити (в дополнение к обычной привязке).
///Tagging Damages Jolly Players|Нанесение меток наносит урон игрокам
///Tagging a player while in Jolly Coop does damage.|Пометка игрока, наносит урон.
///Graffiti Tokens in Any Campaign|Открываемые граффити в любой кампании
///Be able to collect the unlockable graffiti tokens in campaigns besides Vinki's (excluding Saint)|Можно собирать открываемые граффити в кампаниях, помимо кампании Винки (за исключением Святого).
///Skip Intro and Tutorials|Пропустить вступление и обучение
///When starting a new game skip the campaign intro and tutorials and start at the top of The Wall.|При запуске новой игры пропустите вступление к кампании и обучение и начните с верхней части стены.
///Visuals|Визуальные эффекты
///Catmaid Iterators|Итераторы в виде кошек
///RESTART FOR CHANGES TO TAKE EFFECT! Show art containing depictions of iterators as catmaids. Disable if you think that's weird.|ПЕРЕЗАПУСТИТЕ, ЧТОБЫ ИЗМЕНЕНИЯ ВСТУПИЛИ В СИЛУ! Показать изображения, на которых итераторы представлены в виде кошек. Отключите, если считаете это странным.
///Wear Glasses Over DMS Skin|Надеть очки поверх скина DMS
///Wear Vinki's glasses on top of the current DMS skin for Vinki. Only works if you have DMS enabled.|Наденьте очки Винки поверх текущего скина DMS для Винки. Работает только при включённом DMS.
Graffiti Display Cycles|Циклы отображения граффити
How many cycles sprayed graffiti should last (excludes story-related graffiti). Use -1 for infinite cycles.|Сколько циклов длится нанесённое граффити (исключая граффити, связанные с историей). Используйте (-1) для бесконечных циклов.
///Delete Graffiti Permanently After Display Cycles|Удаление граффити безвозвратно после циклов отображения
///Delete Graffiti permanently when running out of display cycles. Will help with loading times if you've sprayed a lot of graffiti.|Удалите граффити навсегда, когда закончатся циклы отображения. Это поможет сократить время загрузки, если вы нанесли много граффити.
///Show Trick Score and Combo HUD|Индикатор оценки трюков и комбо
///Enable the Trick Score and Combo HUD that appears when you start a combo.|Включить индикатор оценки трюков и комбо, который появляется при запуске комбо.
///Graffiti Files|Файлы с граффити
///Restore Default Graffiti when Mod Updates|Восстанавливать граффити по умолчанию
///Restore default graffiti when the mod updates to a new version. Helpful to automatically add any new graffiti from updates.|Восстановить граффити по умолчанию, когда мод обновится до новой версии. Полезно после установки обновления, включающего новые граффити.
Open Graffiti Folder|Открыть папку с граффити
