GATE_DS_SB: 638.1884><325.6082><510.6176><276.9495><2><><48><35
GATE_SB_SL: 4290.474><364.5833><3088.658><240.6706><1><><48><35
GATE_LF_SB: -1026.528><1187.582><-639.3423><1009.673><1><><48><35
SB_F03: -1190.066><900.999><-906.6657><640.9552><1><><48><232
SB_A10: -1008.798><946.5247><-642.0822><859.6947><1><><54><35
SB_A09: -1449.673><641.8989><-953.9434><628.5522><1><><48><35
SB_H03: -1219.088><397.1906><-954.058><371.9042><1><Subterranean><204><78
SB_S06: -1728.94><356.0703><-1075.776><513.9828><2><><48><25
SB_H02: -595.0865><282.1907><-514.0582><295.9047><1><Subterranean><204><78
SB_A04: -990.087><196.1909><-640.058><280.9047><1><Subterranean><54><35
SB_A13: -1147.506><196.5094><-749.8814><279.4735><1><Subterranean><48><35
SB_A01: -871.087><163.1909><-565.0588><128.9047><2><Subterranean><52><35
SB_A11: -908.0256><51.89168><-574.6657><36.95521><1><Subterranean><48><35
SB_B01: -533.0864><77.19088><-426.0581><-5.094577><1><Subterranean><105><35
SB_S07: -622.7917><-7.116286><-405.8771><-137.5083><1><><48><35
SB_A12: -232.0247><54.89248><-108.9908><-17.39948><1><Subterranean><48><35
SB_C01: -563.0865><170.1913><-442.0581><131.9047><2><Subterranean><148><35
SB_B02: -165.0869><177.1913><-126.058><123.9047><2><Subterranean><113><35
SB_C05: -31.08698><-242.8095><21.94186><-172.0954><2><><48><121
SB_A03: -207.0872><234.1904><-69.05814><235.9047><1><Subterranean><49><35
SB_E04: 180.9138><327.1906><-36.05774><368.9042><1><Subterranean><254><38
SB_C06: 218.9134><88.19128><165.9411><85.90472><2><><48><121
SB_S03: 218.1891><83.60888><271.6183><187.9495><2><><48><35
SB_F02: 252.9134><-215.8092><154.9413><-198.0954><2><Filtration System><104><121
SB_D04: 490.9129><87.19088><390.9409><-31.09539><2><Filtration System><48><150
SB_S04: 477.9113><366.7814><388.1516><311.9872><2><><48><35
SB_G03: 1198.921><343.1906><512.9409><372.9042><1><Subterranean><355><35
SB_F01: 929.9213><65.19068><671.9427><21.90452><2><Filtration System><105><121
SB_J01: 2119.918><381.1906><1251.938><364.9039><1><Subterranean><252><78
SB_E02: 2900.918><444.1907><1899.939><437.9042><1><Subterranean><252><35
SB_G02: 3827.917><444.1907><2467.939><437.9042><1><Subterranean><362><35
SB_S05: 4429.235><446.9019><3220.093><438.166><1><><48><35
SB_C07: 2301.918><331.1906><1551.938><226.9041><0><Subterranean><154><45
SB_J02: 2911.918><251.1904><1896.939><142.9047><0><Subterranean><252><78
SB_J03: 2238.918><183.1909><1394.938><-4.095279><1><><504><37
SB_S02: 2770.808><114.7563><2218.602><-140.773><1><><48><35
SB_I01: 150.9134><-573.8086><39.94116><-509.0953><2><Filtration System><152><120
SB_S01: 150.0702><-406.4563><-70.43244><-319.9976><1><><48><35
SB_D06: -35.08688><-952.8093><17.94166><-866.0969><2><><48><154
GATE_SB_VS: 1732.35><-243.5765><1351.334><-246.2044><2><><48><35
SB_E07: 693.8538><-328.2133><405.7899><-341.1101><2><Filtration System><151><80
SB_B04: 832.9134><-391.566><726.6421><-342.8722><2><Filtration System><48><74
SB_S10: 925.4783><-396.964><847.4598><-461.3734><1><><48><35
SB_C10: 813.9965><-155.8408><579.4457><-123.5101><2><Filtration System><151><35
