GATE_HI_VS: -2028.808><741.1697><-1371.405><632.8018><2><><48><35
GATE_SL_VS: 4432.193><-789.8292><3006.597><-547.1979><0><><48><35
GATE_SB_VS: -2535.148><-937.9722><-1611.693><-715.8597><2><><48><35
GATE_SI_VS: -347.9469><1301.25><-97.89431><1047.461><0><><48><35
VS_B01: -2037.808><537.171><-1377.405><398.8028><2><><48><72
VS_A02: -1876.959><493.6215><-1238.653><423.7528><2><><48><35
VS_A01: -869.5586><650.4208><-489.6536><565.5518><1><Pipeyard><48><35
VS_S04: -737.0951><603.3961><-373.263><569.739><1><><48><35
VS_B02: -1722.459><551.7875><-1118.32><422.2528><1><Pipeyard><50><74
VS_C04: -1366.287><618.4404><-955.9629><622.1074><1><Pipeyard><149><35
VS_S01: -1587.032><451.7874><-1246.176><280.5382><1><><48><35
VS_A03: -1492.032><531.2875><-969.8016><362.9137><1><Pipeyard><48><35
VS_B03: -1507.032><358.8434><-973.3586><152.3575><1><Pipeyard><48><76
VS_C01: -1187.428><265.0441><-693.2588><122.058><1><Pipeyard><148><35
VS_D01: -1158.521><409.5887><-715.5317><242.2397><2><Pipeyard><48><150
VS_A05: -1359.735><565.6129><-834.4123><457.8318><2><Pipeyard><48><35
VS_A14: -1530.92><580.3889><-952.1153><496.218><2><Pipeyard><48><35
VS_B04: -947.8544><497.3393><-479.9476><357.656><2><Pipeyard><48><75
VS_C02: -1467.965><260.8069><-843.415><136.8526><2><Pipeyard><48><112
VS_A04: -446.644><475.5341><-14.50544><330.6247><2><Pipeyard><48><35
VS_S20: -588.8571><466.8784><-135.8782><326.6221><2><><48><35
VS_B07: -900.9054><174.4915><-594.3321><250.8864><2><Pipeyard><48><77
VS_B08: -772.6546><483.1576><-378.6229><353.219><2><Pipeyard><48><75
VS_H02: -607.0561><243.5901><-254.2241><-115.2605><1><Pipeyard><48><302
VS_C03: -838.0185><385.2562><-363.4458><34.33165><1><Pipeyard><48><112
VS_C05: -226.6847><648.0408><-137.7626><467.2409><1><Pipeyard><150><35
VS_B09: 122.7991><523.202><131.0528><335.2315><1><Pipeyard><96><35
VS_A06: -1038.107><612.2639><-599.8547><562.0125><1><Pipeyard><48><35
VS_C06: 334.1049><556.567><345.2673><334.4674><0><Pipeyard><48><112
VS_C13: -26.50846><684.4346><21.80369><590.4025><0><Pipeyard><151><35
VS_E07: -353.3291><949.8522><-93.67379><616.3726><0><><48><187
VS_S09: -467.643><1337.164><-209.1697><1045.535><0><><48><35
VS_B10: 540.4002><740.9498><461.0023><412.3501><0><Pipeyard><48><72
VS_A07: 712.3551><692.1708><586.1862><449.5152><0><><48><35
VS_S05: 849.7976><698.9208><699.6591><453.2929><0><><48><35
VS_B11: 629.707><443.9831><581.6459><199.1635><0><><48><78
VS_A08: 438.522><375.9036><461.0682><181.4265><0><><48><35
VS_C07: 36.21427><410.929><111.53><196.0679><1><><149><35
VS_B12: -310.3354><364.5792><-124.0454><191.3678><2><><101><35
VS_F01: -565.4807><-313.11><-329.3198><-327.4341><1><><148><72
VS_C09: -231.5772><57.69813><-127.7619><-98.53008><2><><48><112
VS_D04: -144.0487><-334.6794><-7.101634><-303.2472><1><><101><75
VS_A13: -229.8264><-164.6052><-16.24983><-103.3952><1><><48><35
VS_S07: -127.1168><-136.9327><93.51358><-84.75909><1><><48><35
VS_B16: 207.5081><-484.6472><213.2636><-335.6878><1><><101><35
VS_D02: 4009.374><-804.9689><2589.516><-558.0364><0><Sump Tunnel><199><35
VS_S02: 4072.874><-715.5408><2761.13><-444.6123><0><><48><35
VS_B05: 3514.145><-800.2079><2372.541><-560.9219><0><Sump Tunnel><98><38
VS_E01: 2949.081><-804.7695><1852.851><-559.7969><0><Sump Tunnel><249><35
