///DevTools + Region Kit
Iggy|Игги
PAGES|СТРАНИЦА
Room Settings|Настр. комнаты
Objects|Объекты
Sound|Звуки
Map|Карта
Triggers|Триггеры
Dialog|Диалоги
Background|Задний фон
Create Specific|Создать новый
Using Specific!|Исп. новый!
Save|Сохранить
Use Defaults|По умолчанию
Create Modify|Создать в modify
Inherit from Template:|Исп. шаблон:
Save as Template:|Сохр. шаблон как:
Next Page|След. страница
Previous Page|Пред. страница
Trash Bin|        Удалить элемент
Collapse All|Свернуть Всё
Prev|Следующая
Previous|Следующая
Next|Предыдущая
///Настройки комнаты
G.O: |Тип:
Rain Intensity: |Интенс. дождя:
Rumble Intensity: |Интенс. тряски:
Ceiling Drips: |Капли с потолка:
Wave Speed: |Скорость волн:
Wave Length: |Длина волн:
Wave Amplitude: |Амплитуда волн:
Rollback Lgth: |Откат длины:
Rollback amp: |Откат амплитуды:
Clouds: |Облака:
Grime: |Грязь:
Rndm Itm Density: |Рандом пред. %:
Rndm Itm Spear %: |Рандом копий %:
Water Light: |Отражение воды:
Inhrt|Сброс
No room specific script active|Скрипт для ком. не активен
!Room specific script ACTIVE!|!Скрипт для ком. АКТИВЕН!
Wet terrain ON|Влажная местность ВКЛ
Wet terrain OFF|Влажная местность ВЫКЛ
///Палитра
PALETTE|ПАЛИТРА
Palette : |Палитра:
Effect Color A: |Эффект цвета А:
Effect Color B: |Эффект цвета Б:
Fade Palette: |Оттенок палитры:
Screen 0: |Экран 0:
Screen 1: |Экран 1:
Screen 2: |Экран 2:
Screen 3: |Экран 3:
Screen 4: |Экран 4:
Screen 5: |Экран 5:
Screen 6: |Экран 6:
Screen 7: |Экран 7:
Screen 8: |Экран 8:
Screen 9: |Экран 9:
Screen 10: |Экран 10:
///Fade Palette: None|Затухающая палитра: Нет
///Fade Palette: 2/2|Затухающая палитра: 2/2
Add New|Создать
Fade Palette Combiner|Комбинатор затухающей палитры
New palette number:|Нов. номер палитры:
Save fade as new palette|Сохранить палитру как новую
Output: palettes/combinedPalettes|Выход: palettes/combinedPalettes
Delete|Удалить
///Местность
TERRAIN|МЕСТНОСТЬ
Select a palette|Выбор палитры
NO PALETTE|НЕТ ПАЛИТРЫ
Light|Свет
Stain Amount|Количество пятен
Stain Brightness|Яркость пятен
Stain Height|Высота пятен
Goo Height|Высота слизи
Grain|Зернистость
Edge Radius|Радиус края
Waves|Волны
Depth|Глубина
Sky Fade|Затухание неба
Screen 0:|Экран 0:
Screen 1:|Экран 1:
Screen 2:|Экран 2:
Screen 3:|Экран 3:
Screen 4:|Экран 4:
Screen 5:|Экран 5:
Screen 6:|Экран 6:
Screen 7:|Экран 7:
Screen 8:|Экран 8:
Screen 9:|Экран 9:
Screen 10:|Экран 10:
///ЭФФЕКТЫ
///Все
Amount: |Количество:
Red: |Красный:
Green: |Зелёный:
Blue: |Синий:
Red |Красный:
Green |Зелёный:
Blue |Синий:
///SKLightning|SK Молнии
///EFFECT SKLightning|ЭФФЕКТ: SK Молнии
Lethal Frequency: |Смерт. частота:
Cosmetic Frequency: |Космет. частота:
///ModifyEffectColorA|Модификатор цвета А
///EFFECT ModifyEffectColorA|ЭФФЕКТ: Модификатор цвета А
Hue: |Оттенок:
Saturation: |Контраст:
Value: |Яркость:
///ModifyEffectColorB|Модификатор цвета Б
///EFFECT ModifyEffectColorB|ЭФФЕКТ: Модификатор цвета Б
///WindDirectional|Направление ветра
///EFFECT WindDirectional|ЭФФЕКТ: Направление ветра
Angle: |Угол:
Strength: |Сила:
///Ripple Settings|Настройки ряби
///EFFECT Ripple Settings|ЭФФЕКТ: Настройки ряби
Select decal|Выбор декали
Timeline:UNDEFINED|Таймлайн: НЕТ
Region:UNDEFINED|Регион: НЕТ
Room:UNDEFINED|Комната: НЕТ
Screen: |Экран:
Pal: |Pal:
Map to: |Map to:
///LocustSwarmConfig|Рой саранчи
///EFFECT LocustSwarmConfig|ЭФФЕКТ: Рой саранчи
Density: |Плотность:
Volume: |Громкость:
Sound Proximity: |Близость звука:
Fg Shadows: |Фоновые тени:
Grounded: |Близость к земле:
///FlowerWind|Цветочный ветер
///EFFECT FlowerWind|ЭФФЕКТ: Цветочный ветер
Minimum: |Минимум:
Maximum: |Максимум:
Turbulence: |Турбулентность:
///testeffect|Тестовый эффект
///EFFECT testeffect|ЭФФЕКТ: Тестовый эффект
A string|Строка:
A bool|Тип:
True|Вкл
False|Выкл
An integer|Целое число:
A float |Плавность:
///FullRoomWind|Ветер во всей комнате
///EFFECT FullRoomWind|ЭФФЕКТ: Ветер во всей комнате
Vertical|Вертикаль:
///MossWaterRGB|Мшистая вода RGB
///EFFECT MossWaterRGB|ЭФФЕКТ: Мшистая вода RGB
Height |Высота:
///ReflectiveWater|Отражения от воды
///EFFECT ReflectiveWater|ЭФФЕКТ: Отражения от воды
Alpha |Альфа:
LerpAngle |Угол:
///RGBElectricDeath|Смерть от электричества
///EFFECT RGBElectricDeath|ЭФФЕКТ: Смерть от электричества
AffectElectricDeath|Электрич.
AffectGreenSparks|Зел. искры
AffectBKGLightning|Молнии
///RainSiren|Дождевая сирена
///EFFECT RainSiren|ЭФФЕКТ: Дождевая сирена
Fade-In Time|Затухание:
Song Name|Музыка:
///HSLDisplaySnow|HSL Отображение снега
///EFFECT HSLDisplaySnow|ЭФФЕКТ: HSL Отображение снега
AffectSnowfall|Снегопад:
LerpRainCycle|Цикл дождя:
LerpNightCycle|Цикл ночи:
Hue |Оттенок:
Saturation |Контраст:
Luminosity |Свечение:
EndHue |Кон. оттенок:
EndSaturation |Кон. насыщ.:
EndLuminosity |Кон. свеч.:
///Звуки
Bkg Drone: |Фоновый гул:
No threat drone vol: |Громкость гула:
CREATE SOUND|СОЗДАТЬ МУЗЫКУ
Omnidirectional|Omnidirectional
Directional|Directional
Spot|Spot
///Карта
Mode: |Мод:
Dev View|Просмотр
Reset Dev Positions (Hold 'N' and click)|Сброс позиций (Нажми «N» и сюда)
Room Attractiveness Tool|Привлекательность комнат
Room Attractiveness|Привлекательность комнат
Apply Tool To All Rooms|Применить ко всем комнатам
TOOL: Cycle|ТИП: Цикл
TOOL: Neutral|ТИП: Нейтральная
TOOL: Forbidden|ТИП: Запрещена
TOOL: Avoid|ТИП: Избегать
TOOL: Like|ТИП: Разрешена
TOOL: Stay|ТИП: Оставаться
Sub Regions|Настройка подрегионов
Canon View|Вид карты
Render Map|Отрисовать карту
Output Texture|Выгрузить текстуру
Create Def. Mat. Rect|Создать материал
Material Rect Settings|Настройки материалов
