///Watcher Expeditions (3466127398)
WatcherExpeditions-name|Экспедиции для Созерцателя
WatcherExpeditions-description|Добавляет Созерцателя в игровой режим Экспедиции.
///Ремикс
Fix Custom Color|Исправить Кастомный Цвет
Spinning Top speaking|Spinning Top разговаривает
Allow Spinning Top to speak. It will choose dialogues in order.|Разрешить Spinning Top говорить. Он будет выберать диалоги по порядку.
Info Dump|Выгрузить информацию
Dump a bunch of info|Выгрузить кучу информации.
Passages for Watcher Campaign|Переходы для кампании Созерцателя
Enable functional but black screen passages in the Watcher Campaign.  Blackscreens for areas as it's not compatible with the Warp Sphere and there is no art for the new areas.|Включить переходы на черном экране в кампании Созерцателя. Черные экраны, поскольку для новых областей нет рисунков.
Rot Spreading Challenge|Испытания Заражение гнилью
Challenge where you need to infect regions to beat it.  5 with normal difficulty, range of 3-9.|Испытания, в которых тебе нужно заразить регионы, чтобы победить. 5 с обычной сложностью, диапазон 3-9.
Watcher Jukebox|Музыка
Add Watcher soundtrack to the Jukebox. No unlock required.|Добавить саундтреки Созерцателя в музыкальный автомат. Разблокировка не требуется.
Watcher Sandbox|Песочница
Move Jukebox button|Переместить кнопку проигрывателя
Move the Jukebox button to better fit the Watcher next to the other slugcats.|Переместить кнопку проигрывателя, чтобы Созерцатель поместился рядом с другими слизнекотами.
Starting Ripple|Начальная Рябь
Starting amount of Ripple. The karma replacement.|Начальная величина Ряби. Замена кармы.
Starting min Ripple|Начальная мин. Рябь
Starting amount of minimum Ripple. If you didn't know, your minimum increases as you visit Spinning Top more times.|Начальная величина минимальной Ряби. Если ты не знал, твоя минимальная Рябь увеличивается по мере того, как ты посещаешь Spinning Top.
Starting max Ripple|Начальная макс. Рябь
Starting amount of max Ripple. You need 3 max Ripple to open Portals. 5 Ripple to hover. 8 Ripple to teleport to all Regions. 9 Ripple to enter Daemon.|Начальная величина максимальной Ряби. Тебе нужна 3-я, чтобы открывать Порталы. 5-я для парения. 8-я для телепортации во все регионы. 9-я для входа к Искусителю.
Max Ripple difference|Макс. разница в Ряби
Your max and minimum Ripple will be at most this far apart. |Твоя максимальная и минимальная Рябь будет находиться не более чем на таком расстоянии друг от друга.
Force unlock|Принудительно разблокировать
Unlock the Watcher Expedition regardless of campaign completion.|Разблокировать экспедиции Созерцателя независимо от завершения кампании.
Karma Flowers all regions|Цветы Кармы во всех регионах
Shattered Terrance|Разбитая терраса
Expeditions can start in Shattered Terrance and Hunt challenges will count creatures in it.|Экспедиции могут начинаться в Разбитой террасе и охотничьи задания будут подсчитывать количество существ в ней.
Rot Dimension - Hunt|Измерение Гнили — Охота
Hunts count enemies within Rot Regions, such as DLLs and Red Centipedes.  As you have no choice in what Rot Region you get teleported to, this isn't recommended.|Охота учитывает врагов в регионах Гнили, таких как Отцы-долгоноги и Красные сколопендры. Поскольку у тебя нет выбора, в какой регион Гнили тебя телепортирует, это не рекомендуется.
Rot Dimension - Shelters|Измерение Гнили — Убежища
Expeditions will be able to start in Rot Regions. You will need to find an exit which then teleports you to a random region. Never Outer Rim|Экспедиции можно будет начинать в регионах Гнили. Тебе нужно будет найти выход, который затем телепортирует тебя в случайный регион. Никогда за пределы Внешнего кольца.
Echo changes max/min Ripple|Мин/макс Рябь эха
Allow Spinning Top to increase maximum and minimum Ripple amount. Still sets Ripple to the highest it can be. Echoes do not in vanilla Expedition.|Разрешить Spinning Top увеличивать максимальную и минимальную величину Ряби. По-прежнему устанавливает максимально возможную Рябь. Отголосков нет в стандартной Экспедиции.
Carry over Warp Map progress|Перенос прогресса деформируемой карты
Carry over discovered Warps that always have the same destination.|Перенос обнаруженных перекосов, которые всегда ведут к одному и тому же месту назначения.
Hunt - Barnacles|Охота — Усоноги
Allow Hunting challenges to pick : Barnacle. As of 1.10.2 they can be desheled with Snails.|Разрешить выбирать охотничьи задания: Усоноги. Начиная с версии 1.10.2 их можно очищать с помощью улиток.
Hunt - Sand Worms|Охота — Песчаный червь
