SRS:|1.00,0.75,0.75
NSH:|0.75,1.00,0.75
WO:|0.75,0.75,1.00
EOC:|1.00,1.00,0.90
PI:|1.00,0.75,1.00
GS:|0.90,0.60,0.40
SI:|0.75,0.75,0.75
HR:|0.55,0.70,0.55
BSM:|0.9,0.85,0.60
CW:|0.75,0.75,0.90
Five Pebbles:|0.40,0.85,0.75
EP:|0.40,0.85,0.75
FP:|0.40,0.85,0.75
HF:|0.55,0.55,0.90
NGI:|0.70,0.55,0.80
UU:|0.55,0.90,0.55
Andrew:|1.00,1.00,1.00
Will:|1.00,0.30,0.35
Screams:|0.30,1.00,0.53
Dakras:|0.72,0.33,0.93
Cappin:|0.0,0.38,0.65
Norgad:|0.67,0.56,0.84
TSF:|0.733, 0.988, 0.549
FC:|1, 0, 0.255
TD:|0.18, 0.094, 0.659
RTTS:|0.035, 0.361, 0.231
Sonix:|0.941, 0.133, 0.208
Nacu:|0.314, 0.267, 0.98
Gabe Newell:|0.38, 0.627, 0.749
Enderzilla:|0.525, 0.263, 0.812
